tucaseid,tuactivity_n,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trtec_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tudurstop,tuec24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere
20230101230565,6,3,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,490,490,1,-1,12:00:00,12:10:00,02,02,01,020201,0202,0
20230101230565,7,3,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,510,510,1,-1,12:10:00,12:30:00,11,01,01,110101,1101,0
20230101230565,8,3,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,570,570,1,-1,12:30:00,13:30:00,04,01,03,040103,0401,0
20230101230565,9,3,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,1,630,630,1,-1,13:30:00,14:30:00,04,01,09,040109,0401,0
20230101230565,10,3,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,690,690,1,-1,14:30:00,15:30:00,04,01,03,040103,0401,0
20230101230565,11,3,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,705,705,1,-1,15:30:00,15:45:00,11,01,01,110101,1101,0
20230101230565,12,3,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,735,735,1,-1,15:45:00,16:15:00,12,01,01,120101,1201,0
20230101230565,13,3,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,765,765,1,-1,16:15:00,16:45:00,04,01,01,040101,0401,0
20230101230565,14,3,0,-1,0,-1,-1,-1,-1,-1,-1,150,150,0,0,0,0,915,915,1,-1,16:45:00,19:15:00,04,01,03,040103,0401,0
20230101230565,15,3,0,-1,0,-1,-1,-1,-1,-1,-1,75,75,0,0,0,0,990,990,2,-1,19:15:00,20:30:00,04,05,01,040501,0405,0
20230101230565,16,12,0,-1,0,-1,-1,-1,-1,-1,-1,130,130,0,0,0,0,1120,1120,1,-1,20:30:00,22:40:00,18,04,05,180405,1804,0
20230101230565,17,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,1130,1130,1,-1,22:40:00,22:50:00,02,09,02,020902,0209,0
20230101230565,18,-1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,1140,1140,1,-1,22:50:00,23:00:00,01,02,01,010201,0102,0
20230101230565,19,1,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,1155,1155,1,-1,23:00:00,23:15:00,02,01,02,020102,0201,0
20230101230565,20,-1,0,-1,0,-1,-1,-1,-1,-1,-1,450,285,0,0,0,0,1605,1440,2,-1,23:15:00,06:45:00,01,01,01,010101,0101,0
20230101230623,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,240,240,0,0,0,97,240,240,2,-1,04:00:00,08:00:00,01,01,01,010101,0101,0
20230101230623,2,-1,0,-1,0,-1,-1,-1,-1,-1,-1,45,45,0,0,0,0,285,285,1,-1,08:00:00,08:45:00,01,02,01,010201,0102,0
20230101230623,3,12,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,300,300,1,-1,08:45:00,09:00:00,18,05,01,180501,1805,0
20230101230623,4,2,0,-1,0,-1,-1,-1,-1,-1,-1,240,240,0,0,0,0,540,540,2,-1,09:00:00,13:00:00,05,01,01,050101,0501,0
20230101230623,5,12,0,-1,0,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,547,547,1,-1,13:00:00,13:07:00,18,11,01,181101,1811,0
20230101230623,6,3,0,-1,0,-1,-1,-1,-1,-1,-1,20,20,0,0,0,0,567,567,1,-1,13:07:00,13:27:00,11,01,01,110101,1101,0
20230101230623,7,3,0,-1,0,-1,-1,-1,-1,-1,-1,78,78,0,0,0,0,645,645,2,-1,13:27:00,14:45:00,12,03,03,120303,1203,0
20230101230623,8,12,0,-1,0,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,652,652,1,-1,14:45:00,14:52:00,18,05,01,180501,1805,0
20230101230623,9,2,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,682,682,1,-1,14:52:00,15:22:00,05,01,01,050101,0501,0
20230101230623,10,12,0,-1,0,-1,-1,-1,-1,-1,-1,15,15,0,0,0,0,697,697,1,-1,15:22:00,15:37:00,18,05,01,180501,1805,0
20230101230623,11,-1,0,-1,0,-1,-1,-1,-1,-1,-1,9,9,0,0,0,0,706,706,1,-1,15:37:00,15:46:00,01,02,01,010201,0102,0
20230101230623,12,12,0,-1,0,-1,-1,-1,-1,-1,-1,8,8,0,0,0,0,714,714,1,-1,15:46:00,15:54:00,18,13,01,181301,1813,0
20230101230623,13,11,0,-1,0,-1,-1,-1,-1,-1,-1,90,90,0,0,0,0,804,804,1,-1,15:54:00,17:24:00,13,03,01,130301,1303,0
20230101230623,14,13,0,-1,0,-1,-1,-1,-1,-1,-1,12,12,0,0,0,0,816,816,1,-1,17:24:00,17:36:00,18,07,04,180704,1807,0
20230101230623,15,7,0,-1,0,-1,-1,-1,-1,-1,-1,84,84,0,0,0,0,900,900,2,-1,17:36:00,19:00:00,07,01,04,070104,0701,0
20230101230623,16,13,0,-1,0,-1,-1,-1,-1,-1,-1,8,8,0,0,0,0,908,908,1,-1,19:00:00,19:08:00,18,07,04,180704,1807,0
20230101230623,17,11,0,-1,0,-1,-1,-1,-1,-1,-1,3,3,0,0,0,0,911,911,1,-1,19:08:00,19:11:00,18,07,04,180704,1807,0
20230101230623,18,12,0,-1,0,-1,-1,-1,-1,-1,-1,5,5,0,0,0,0,916,916,1,-1,19:11:00,19:16:00,18,07,04,180704,1807,0
20230101230623,19,1,0,-1,0,-1,-1,-1,-1,-1,-1,30,30,0,0,0,0,946,946,1,-1,19:16:00,19:46:00,11,01,01,110101,1101,0
20230101230623,20,1,0,-1,0,-1,-1,-1,-1,-1,-1,14,14,0,0,0,0,960,960,2,-1,19:46:00,20:00:00,12,01,01,120101,1201,0
20230101230623,21,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,970,970,1,-1,20:00:00,20:10:00,11,01,01,110101,1101,0
20230101230623,22,1,0,-1,0,-1,-1,-1,-1,-1,-1,110,110,0,0,0,0,1080,1080,2,-1,20:10:00,22:00:00,12,01,01,120101,1201,0
20230101230623,23,-1,0,-1,0,-1,-1,-1,-1,-1,-1,660,360,0,0,0,0,1740,1440,2,-1,22:00:00,09:00:00,01,01,01,010101,0101,0
20230101230625,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,300,300,0,0,0,97,300,300,2,-1,04:00:00,09:00:00,01,01,01,010101,0101,0
20230101230625,2,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,360,360,1,-1,09:00:00,10:00:00,02,02,01,020201,0202,0
20230101230625,3,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,370,370,1,-1,10:00:00,10:10:00,11,01,01,110101,1101,0
20230101230625,4,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,430,430,1,-1,10:10:00,11:10:00,12,03,12,120312,1203,0
20230101230625,5,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,490,490,1,-1,11:10:00,12:10:00,02,08,01,020801,0208,0
20230101230625,6,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,550,550,1,-1,12:10:00,13:10:00,16,01,02,160102,1601,0
20230101230625,7,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,610,610,1,-1,13:10:00,14:10:00,02,06,01,020601,0206,0
20230101230625,8,1,0,-1,0,-1,-1,-1,-1,-1,-1,60,60,0,0,0,0,670,670,1,-1,14:10:00,15:10:00,05,01,01,050101,0501,0
20230101230625,9,1,0,-1,0,-1,-1,-1,-1,-1,-1,10,10,0,0,0,0,680,680,1,-1,15:10:00,15:20:00,02,01,01,020101,0201,0
